Oblast,2008,2009,2010,2011,2012
"Автономна Республiка Крим 
та м. Севастополь",4355.2615659879,3762.81396538494,3240.60231199079,3034.48410685095,2767
Вiнницька,3168.4578313253,2763.93614443233,2298.99585669023,2053.79997081141,1825
Волинська,4107.76298011967,3696.27375325552,3168.28962591593,2886.59712333911,2477
Днiпропетровська,7271.42730128623,6038.26344807033,5139.34811928668,4752.64772983164,4418
Донецька,3999.26052660815,3451.05088767994,2995.95713963456,3116.09899035928,3084
Житомирська,3097.15886261783,2731.06781770104,2333.14073494918,2171.98794976437,2051
Закарпатська,4853.12449734599,4395.87082262211,3406.81657848324,2974.51750917886,2568
Запорiзька,4578.63833525504,3978.30159518684,3323.87664464553,3072.19207382374,2822
Iвано-Франкiвська,3743.46969806676,3175.62902875353,2921.81185679084,2419.50743614231,2147
Кiровоградська,2802.20545277507,2354.85262330517,2020.5198019802,1895.12347245611,1736
Луганська,2462.82013894845,2056.14293130299,1792.38990965827,1817.21201183174,1771
Львiвська,4236.26307336754,3728.52721995607,3010.90344637875,3129.48642456216,2812
Миколаївська,4810.43987288844,4423.72425388819,3841.85667201893,3491.52992046342,3107
Одеська,10043.5682635231,9292.43538268507,8188.83158203207,7107.40791792488,5896
Полтавська,3382.01733492127,2807.87610029341,2410.1075413362,2303.63236521798,2188
Рiвненська,3359.5864465682,2928.84248002779,2435.10455531453,2068.07198775015,1802
Сумська,2630.2652027027,2204.95862833746,1897.27163151098,1769.82860563221,1593
Тернопiльська,3105.35077288942,2639.47102580586,2169.55631399317,1849.18739575157,1603
Харкiвська,5718.42042840713,5163.90632335416,4416.09996007404,4205.73386859456,3615
Херсонська,4271.93231441048,3773.37845253338,3370.11486859033,2964.15842397083,2733
Хмельницька,3880.39585507679,3368.62218890555,2895.10663953576,2599.30708729738,2322
Черкаська,3210.51905236525,2696.76806670784,2294.39085109693,2132.01277857982,1883
Чернiвецька,4467.4560336246,3766.36665192393,2987.13369457039,2712.13897279355,2255
Чернiгiвська,2367.62507803442,2016.27286654051,1676.59078492078,1576.41911206247,1501
,,,,,
"Довідково: ",,,,,
"Київська та м. Київ",24446.848920109,17426.9451285806,15756.6418703507,16092.1531574088,15809
